event_id,duration,num_scans,scans_per_second,min_distance,max_distance,mean_distance,std_distance,max_intrusion,mean_intrusion,intrusion_std,intrusion_ratio,temporal_variation,spatial_spread,label
flower_1_20260226031655534798,2.132725238800049,32,15.004276883788556,0.307,0.356,0.3301640625,0.012192535049168274,0.04299999999999998,0.01983593749999997,0.012192535049168274,0.12285714285714282,0.007843378493322634,4,bee
flower_1_20260226031707068220,1.6668992042541504,25,14.997907453670052,0.306,0.355,0.32526,0.014935971087386056,0.043999999999999984,0.024739999999999977,0.014935971087386056,0.12571428571428567,0.013489285871881177,4,bee
flower_1_20260226031754801375,1.533177137374878,23,15.00152815961034,0.306,0.358,0.3324891304347826,0.013251990988889663,0.043999999999999984,0.017510869565217368,0.013251990988889663,0.12571428571428567,0.008301998068944537,4,bee
flower_1_20260226031809867851,1.200181007385254,18,14.99773774892112,0.308,0.358,0.33775,0.01272211117213083,0.04199999999999998,0.01224999999999998,0.01272211117213083,0.11999999999999995,0.00886002257333466,4,bee
flower_1_20260226031816934997,2.067112922668457,31,14.996761744385879,0.31,0.355,0.3379516129032258,0.013192665391861516,0.03999999999999998,0.012048387096774174,0.013192665391861516,0.11428571428571424,0.004565002443792108,4,bee
flower_1_20260226031829133115,3.39974308013916,51,15.001133555631045,0.304,0.357,0.32995098039215687,0.011845372774925809,0.045999999999999985,0.020049019607843103,0.011845372774925809,0.1314285714285714,0.007039534716130588,4,bee
flower_1_20260226031840133657,2.199827194213867,33,15.001178313823381,0.294,0.354,0.3264848484848485,0.017147089241107857,0.055999999999999994,0.023515151515151492,0.017147089241107857,0.16,0.011845347747431297,4,bee
flower_1_20260226031855266871,1.4000420570373535,21,14.999549402421783,0.311,0.359,0.32821428571428574,0.012022139645351133,0.03899999999999998,0.02178571428571426,0.012022139645351133,0.11142857142857138,0.010586927586145357,4,bee
flower_1_20260226031919400480,2.066833972930908,31,14.99878577863704,0.296,0.349,0.3270241935483871,0.014621213961854607,0.05399999999999999,0.022975806451612877,0.014621213961854607,0.15428571428571428,0.010314301325245297,4,bee
flower_1_20260226032214131404,3.4659130573272705,52,15.003261518654384,0.298,0.352,0.3156057692307692,0.012355380426857847,0.05199999999999999,0.034394230769230746,0.012355380426857847,0.14857142857142855,0.011947838650412448,4,not_bee
flower_1_20260226032218598046,1.1994578838348389,18,15.006779514801652,0.258,0.355,0.30525,0.03770820137190614,0.09199999999999997,0.04474999999999998,0.03770820137190614,0.2628571428571428,0.038350166806907705,4,not_bee
flower_1_20260226032224264665,2.8660998344421387,43,15.002966569156365,0.253,0.353,0.2778546511627907,0.0329446963740121,0.09699999999999998,0.07214534883720927,0.0329446963740121,0.2771428571428571,0.03308413843440454,4,not_bee
